Designator,Mid X,Mid Y,Rotation,Layer
A1,395.2875,-64.2087,0.0,top
C1,47.625,-30.9562,180.0,top
D1,21.4313,-30.0037,90.0,bottom
D10,209.1737,-30.0037,90.0,bottom
D100,200.025,-33.3375,0.0,top
D101,218.6987,-33.3375,0.0,top
D102,237.7487,-33.3375,0.0,top
D103,256.7987,-33.3375,0.0,top
D104,275.8487,-33.3375,0.0,top
D105,294.5,-33.0825,0.0,top
D106,30.9563,-57.15,0.0,top
D107,50.0063,-57.15,0.0,top
D108,69.0563,-57.15,0.0,top
D109,88.0375,-57.15,0.0,top
D11,228.2237,-30.0037,90.0,bottom
D110,107.1563,-57.15,0.0,top
D111,126.2063,-57.15,0.0,top
D112,145.2563,-57.15,0.0,top
D113,164.3063,-57.15,0.0,top
D114,183.3563,-57.15,0.0,top
D115,202.4063,-57.15,0.0,top
D116,221.4563,-57.15,0.0,top
D117,240.5063,-57.15,0.0,top
D118,259.5563,-57.15,0.0,top
D119,290.5125,-57.15,0.0,top
D12,247.2737,-30.0037,90.0,bottom
D120,35.7188,-76.2,0.0,top
D121,59.4451,-76.2,0.0,top
D122,78.4951,-76.2,0.0,top
D123,97.5451,-76.2,0.0,top
D124,116.5951,-76.2,0.0,top
D125,135.6451,-76.2,0.0,top
D126,154.6951,-76.2,0.0,top
D127,173.7451,-76.2,0.0,top
D128,192.7951,-76.2,0.0,top
D129,211.8451,-76.2,0.0,top
D13,266.3237,-30.0037,90.0,bottom
D130,230.9638,-76.2,0.0,top
D131,249.9451,-76.2,0.0,top
D132,268.9263,-76.2,0.0,top
D133,292.8076,-76.2,0.0,top
D134,38.1,-95.25,0.0,top
D135,64.2938,-95.25,0.0,top
D136,83.275,-95.25,0.0,top
D137,102.3938,-95.25,0.0,top
D138,121.4438,-95.25,0.0,top
D139,140.4938,-95.25,0.0,top
D14,321.4688,-49.0537,90.0,bottom
D140,159.5438,-95.25,0.0,top
D141,178.5938,-95.25,0.0,top
D142,197.6438,-95.25,0.0,top
D143,216.6938,-95.25,0.0,top
D144,235.7438,-95.25,0.0,top
D145,254.7938,-95.25,0.0,top
D146,285.75,-95.25,0.0,top
D147,40.4813,-114.3,0.0,top
D148,73.8188,-114.3,0.0,top
D149,92.8688,-114.3,0.0,top
D15,340.5188,-49.0537,90.0,bottom
D150,111.9188,-114.3,0.0,top
D151,130.9688,-114.3,0.0,top
D152,150.0188,-114.3,0.0,top
D153,169.1375,-114.3,0.0,top
D154,188.1188,-114.3,0.0,top
D155,207.1688,-114.3,0.0,top
D156,226.2188,-114.3,0.0,top
D157,245.2688,-114.3,0.0,top
D158,283.3688,-114.3,0.0,top
D159,35.7188,-133.35,0.0,top
D16,359.5688,-49.0537,90.0,bottom
D160,57.15,-133.35,0.0,top
D161,80.9625,-133.35,0.0,top
D162,152.4,-133.35,0.0,top
D163,223.8375,-133.35,0.0,top
D164,247.65,-133.35,0.0,top
D165,271.4625,-133.35,0.0,top
D166,295.275,-133.35,0.0,top
D167,350.0438,-52.3875,0.0,top
D168,369.0938,-52.3875,0.0,top
D169,330.9938,-71.4375,0.0,top
D17,21.4313,-53.8162,90.0,bottom
D170,350.0438,-71.4375,0.0,top
D171,369.0938,-71.4375,0.0,top
D172,330.9938,-90.4875,0.0,top
D173,350.0438,-90.4875,0.0,top
D174,369.0938,-90.4875,0.0,top
D175,350.0438,-114.3,0.0,top
D176,330.9938,-52.3875,0.0,top
D177,330.9938,-133.35,0.0,top
D178,350.0438,-133.35,0.0,top
D179,369.0938,-133.35,0.0,top
D18,40.4813,-53.8162,90.0,bottom
D19,59.5313,-53.8162,90.0,bottom
D2,57.15,-30.0037,90.0,bottom
D20,78.5813,-53.8162,90.0,bottom
D21,97.6313,-53.8162,90.0,bottom
D22,116.6813,-53.8162,90.0,bottom
D23,135.7313,-53.8162,90.0,bottom
D24,154.7813,-53.8162,90.0,bottom
D25,173.8313,-53.8162,90.0,bottom
D26,192.8813,-53.8162,90.0,bottom
D27,211.9313,-53.8162,90.0,bottom
D28,230.9813,-53.8162,90.0,bottom
D29,250.0313,-53.8162,90.0,bottom
D3,76.2,-30.0037,90.0,bottom
D30,49.9201,-72.8662,90.0,bottom
D31,68.9701,-72.8662,90.0,bottom
D32,88.0201,-72.8662,90.0,bottom
D33,107.0701,-72.8662,90.0,bottom
D34,127.4201,-72.8662,90.0,bottom
D35,145.1701,-72.8662,90.0,bottom
D36,164.2201,-72.8662,90.0,bottom
D37,183.2701,-72.8662,90.0,bottom
D38,202.3201,-72.8662,90.0,bottom
D39,221.3701,-72.8662,90.0,bottom
D4,95.25,-30.0037,90.0,bottom
D40,240.4201,-72.8662,90.0,bottom
D41,259.4701,-72.8662,90.0,bottom
D42,54.7688,-91.9162,90.0,bottom
D43,73.8188,-91.9162,90.0,bottom
D44,92.8688,-91.9162,90.0,bottom
D45,111.9188,-91.9162,90.0,bottom
D46,130.9688,-91.9162,90.0,bottom
D47,150.0188,-91.9162,90.0,bottom
D48,169.0688,-91.9162,90.0,bottom
D49,188.1188,-91.9162,90.0,bottom
D5,114.3,-30.0037,90.0,bottom
D50,207.1688,-91.9162,90.0,bottom
D51,226.2188,-91.9162,90.0,bottom
D52,245.2688,-91.9162,90.0,bottom
D53,64.2938,-110.9662,90.0,bottom
D54,83.3438,-110.9662,90.0,bottom
D55,102.3938,-110.9662,90.0,bottom
D56,121.4438,-110.9662,90.0,bottom
D57,140.4938,-110.9662,90.0,bottom
D58,159.5438,-110.9662,90.0,bottom
D59,178.5938,-110.9662,90.0,bottom
D6,133.35,-30.0037,90.0,bottom
D60,197.6438,-110.9662,90.0,bottom
D61,216.6938,-110.9662,90.0,bottom
D62,235.7438,-110.9662,90.0,bottom
D63,21.39,-124.0,90.0,bottom
D64,45.2438,-130.0162,90.0,bottom
D65,69.0563,-130.0162,90.0,bottom
D66,92.8688,-130.0162,90.0,bottom
D67,211.9313,-130.0162,90.0,bottom
D68,235.7438,-130.0162,90.0,bottom
D69,259.5563,-130.0162,90.0,bottom
D7,152.4,-30.0037,90.0,bottom
D70,283.3688,-130.0162,90.0,bottom
D71,321.4688,-68.1037,90.0,bottom
D72,340.5188,-68.1037,90.0,bottom
D73,360.6938,-68.1037,90.0,bottom
D74,340.5188,-110.9662,90.0,bottom
D75,322.58,-130.0162,90.0,bottom
D76,340.5188,-130.0162,90.0,bottom
D77,359.5688,-130.0162,90.0,bottom
D78,287.755,-29.8825,90.0,bottom
D79,321.4688,-87.1537,90.0,bottom
D8,171.45,-30.0037,90.0,bottom
D80,340.5188,-87.1537,90.0,bottom
D81,359.5688,-87.1537,90.0,bottom
D82,21.4313,-110.9662,90.0,bottom
D83,278.5201,-72.8662,90.0,bottom
D84,21.4313,-72.8662,90.0,bottom
D85,21.4313,-91.9162,90.0,bottom
D86,269.0813,-53.8162,90.0,bottom
D87,264.3188,-91.9162,90.0,bottom
D88,254.7938,-110.9662,90.0,bottom
D9,190.5,-30.0037,90.0,bottom
D92,30.95625,-33.3375,0.0,top
D93,66.675,-33.3375,0.0,top
D94,85.725,-33.3375,0.0,top
D95,104.7063,-33.3375,0.0,top
D96,123.825,-33.3375,0.0,top
D97,142.875,-33.3375,0.0,top
D98,161.925,-33.3375,0.0,top
D99,180.975,-33.3375,0.0,top
J1,355.7525,-23.9275,0.0,top
R1,47.625,-21.4312,0.0,top
SW1,30.9563,-26.1937,0.0,top
SW10,218.7575,-26.1937,0.0,top
SW11,237.8075,-26.1937,0.0,top
SW12,256.8575,-26.1937,0.0,top
SW13,275.9075,-26.1937,0.0,top
SW14,330.9938,-45.2437,0.0,top
SW15,350.0438,-45.2437,0.0,top
SW16,369.0938,-45.2437,0.0,top
SW17,30.9563,-50.0062,0.0,top
SW18,50.0063,-50.0062,0.0,top
SW19,69.0563,-50.0062,0.0,top
SW2,66.3575,-26.1937,0.0,top
SW20,88.1063,-50.0062,0.0,top
SW21,107.1563,-50.0062,0.0,top
SW22,126.2063,-50.0062,0.0,top
SW23,145.2563,-50.0062,0.0,top
SW24,164.3063,-50.0062,0.0,top
SW25,183.3563,-50.0062,0.0,top
SW26,202.4063,-50.0062,0.0,top
SW27,221.4563,-50.0062,0.0,top
SW28,240.5063,-50.0062,0.0,top
SW29,259.5563,-50.0062,0.0,top
SW3,85.4075,-26.1937,0.0,top
SW30,59.5313,-69.0562,0.0,top
SW31,78.5813,-69.0562,0.0,top
SW32,97.6313,-69.0562,0.0,top
SW33,116.6813,-69.0562,0.0,top
SW34,135.7313,-69.0562,0.0,top
SW35,154.7813,-69.0562,0.0,top
SW36,173.8313,-69.0562,0.0,top
SW37,192.8813,-69.0562,0.0,top
SW38,211.9313,-69.0562,0.0,top
SW39,230.8951,-69.0562,0.0,top
SW4,104.4575,-26.1937,0.0,top
SW40,249.9451,-69.0562,0.0,top
SW41,268.9951,-69.0562,0.0,top
SW42,64.2938,-88.1062,0.0,top
SW43,83.3438,-88.1062,0.0,top
SW44,102.3938,-88.1062,0.0,top
SW45,121.4438,-88.1062,0.0,top
SW46,140.4938,-88.1062,0.0,top
SW47,159.5438,-88.1062,0.0,top
SW48,178.5938,-88.1062,0.0,top
SW49,197.6438,-88.1062,0.0,top
SW5,123.5075,-26.1937,0.0,top
SW50,216.6938,-88.1062,0.0,top
SW51,235.7438,-88.1062,0.0,top
SW52,254.7938,-88.1062,0.0,top
SW53,73.8188,-107.1562,0.0,top
SW54,92.8688,-107.1562,0.0,top
SW55,111.9188,-107.1562,0.0,top
SW56,130.9688,-107.1562,0.0,top
SW57,150.0188,-107.1562,0.0,top
SW58,169.0688,-107.1562,0.0,top
SW59,188.1188,-107.1562,0.0,top
SW6,142.5575,-26.1937,0.0,top
SW60,207.1688,-107.1562,0.0,top
SW61,226.2188,-107.1562,0.0,top
SW62,245.2688,-107.1562,0.0,top
SW63,33.3375,-126.2062,0.0,top
SW64,57.1501,-126.2062,0.0,top
SW65,80.9626,-126.2062,0.0,top
SW66,152.4,-126.2062,0.0,top
SW67,223.8375,-126.2062,0.0,top
SW68,247.65,-126.2062,0.0,top
SW69,271.4625,-126.2062,0.0,top
SW7,161.6075,-26.1937,0.0,top
SW70,295.275,-126.2062,0.0,top
SW71,330.9938,-64.2937,0.0,top
SW72,350.0438,-64.2937,0.0,top
SW73,369.0938,-64.2937,0.0,top
SW74,350.3613,-107.1562,0.0,top
SW75,331.3113,-126.2062,0.0,top
SW76,350.3613,-126.2062,0.0,top
SW77,369.4113,-126.2062,0.0,top
SW78,297.6563,-26.1937,0.0,top
SW79,330.9938,-83.3437,0.0,top
SW8,180.6575,-26.1937,0.0,top
SW80,350.0438,-83.3437,0.0,top
SW81,369.0938,-83.3437,0.0,top
SW82,42.8625,-107.1562,0.0,top
SW83,292.8076,-69.0562,0.0,top
SW84,35.7188,-69.0562,0.0,top
SW85,38.1,-88.1062,0.0,top
SW86,288.0995,-50.0062,0.0,top
SW87,285.75,-88.1062,0.0,top
SW88,280.9875,-107.1562,0.0,top
SW89,369.0938,-23.8125,0.0,top
SW9,199.7075,-26.1937,0.0,top
